instanceID, capacity, shortageCost, simulatedSolutionValue, simulationRuns, milpSolutionValue, milpOptimalityGap, piecewisePartitions, piecewiseSamples, milpMaxLinearizationError, simulatedLinearizationError,cplexSolutionTimeMs, simplexIterations, exploredNodes,instance,n_items,coeff_of_var
2d53daad8f6c44173d3bb20a5c56f295f6f5fd11867eaadfc1582445a955e9b6,1006.8072113503724,10.0,1683.1706784151563,100000,1685.316312961801,0.0,100,0,0.002828039499196,-0.1274757559741225,3096.0,554,0,P05_UNCORRELATED,50,0.2
632a1895153a39cd75faea70d86235c459305cc1bdd7453e9aaa8fb8f6b7d5e7,1119.6345765103188,10.0,1854.8384612843188,100000,1857.244959188938,0.0,100,0,0.0026509678466851,-0.1297416435366023,2798.0,792,0,P05_UNCORRELATED,50,0.2
a638a6766e65ce20f61909c980c673a59131a9c65ca269f7f9eb3414ed06adea,1338.503155357442,10.0,1865.2570214849688,100000,1866.3994675452163,0.0,100,0,0.0029966012993938,-0.0612487205295691,4703.0,1542,153,P05_UNCORRELATED,50,0.2
c44e7f4b3cab1585343240ef2d70257c53e591700a5a5510b55dc937deab3db3,1525.452019385088,10.0,2032.0688858987487,100000,2034.849897202616,0.0,100,0,0.0031365539042443,-0.1368561530155619,2450.0,567,0,P05_UNCORRELATED,50,0.2
f14d8c78c3e3cd3dff0238f1273a2b9796782b8538cfb60fa3499da7de6ea6d4,1785.3808284860645,10.0,2322.8073057660827,100000,2326.6771101738045,0.0,100,0,0.0029099734013699,-0.1666003201434551,2775.0,578,0,P05_UNCORRELATED,50,0.2
51c9a5371a357f0ff2693956c0b00ec98ee2d5d33923486afdaea82fad70019c,2050.1645442845233,10.0,2175.194792916998,100000,2178.5694763090182,0.0,100,0,0.0034847106321638,-0.1551439624170334,2799.0,728,0,P05_UNCORRELATED,50,0.2
8568203d7fdeb0ae5e801f9d9cbffc5bcab74a04969653d20643f37281a0b559,2281.2270249152775,10.0,2635.363085783731,100000,2638.5129083224747,0.0,100,0,0.0030433756375032,-0.1195213879914716,3235.0,652,0,P05_UNCORRELATED,50,0.2
fcdb14c2a962df907a5112ba4f4c70fa931f46ae45012750018b9337f78418fc,447.6870558288326,10.0,1814.277487696014,100000,1815.1164535555497,0.0,100,0,0.000650937047312932,-0.0462424224092114,3963.0,3778,410,P05_UNCORRELATED,100,0.1
c6a5aca5901333389cfd31cacef7ad7da75db3a690f514a6091e71eebf8dba46,1008.253974586664,10.0,2166.195833927828,100000,2168.3746941159807,0.0,100,0,0.0010181025552326,-0.1005846357022033,3692.0,5545,524,P05_UNCORRELATED,100,0.1
820f31ea2320188532c13d5433eab27952214cd777829ccca224b746c53e86d5,1276.6190229759368,10.0,2907.7459785967767,100000,2910.2909755271735,0.0,100,0,0.000808781191491761,-0.0875247339048839,3994.0,4928,588,P05_UNCORRELATED,100,0.1
f3cdf914791e30b55b88265bfe96c63fd529a97d324a875936a535687ca9ec09,1849.9340389557417,10.0,3118.8419324618335,100000,3123.3477709743956,0.0,100,0,0.0010376482646724,-0.144471525333299,4451.0,3687,456,P05_UNCORRELATED,100,0.1
fbc5cf70daf91e26c7dc8b5ddfe4875032b055ea9f7a621be76071d5369e6866,2363.862328567923,10.0,3747.31380753736,100000,3751.5467949974473,0.0,100,0,0.0010350759052676,-0.1129605812988657,3918.0,1020,48,P05_UNCORRELATED,100,0.1
d79cfb1fda2687fa0ce9615e558904476b5b74055b0dc9471efa68b5f69cbbbc,2676.3251024853316,10.0,4404.01741923392,100000,4408.475203586262,0.0,100,0,0.0009463139504975206,-0.1012208610454927,2614.0,600,0,P05_UNCORRELATED,100,0.1
6a9a4f3e643b3d119687c55ea09686c283c66cc2f28bdb27d54507d6f25b0d63,3437.617036735994,10.0,4562.31017562214,100000,4567.305665844956,0.0,100,0,0.0010938288922872,-0.1094947522311834,2130.0,747,0,P05_UNCORRELATED,100,0.1
50f3ffdcbaa8a9ed86357f51befa6f85e499dfd31c410403dbb74a6c668a393a,4006.977012186977,10.0,4490.686641014689,100000,4495.86087166608,0.0,100,0,0.0012410020275465,-0.1152213695815216,2540.0,770,0,P05_UNCORRELATED,100,0.1
a2f12a9d6dabf9557dc1b2a91a7cc0983b70ad543cc34aaf8306f5b5e5c10a66,4175.238338910199,10.0,4258.177024535354,100000,4261.177833230427,0.0,100,0,0.0013072861774453,-0.070471675502978,2956.0,714,0,P05_UNCORRELATED,100,0.1
dd20511b78a0ba8abe1337cf57e869ae0abad8b05abb6761d16bd16365d97eb4,4329.982020871435,10.0,5218.797063160021,100000,5222.939862409516,0.0,100,0,0.0010846496472339,-0.0793822637545922,1724.0,693,0,P05_UNCORRELATED,100,0.1
c9e5aef0362fe4a4ed7cc0a13b3caa22ecad5b2cdea969a9ae604c4b58b650a1,447.6870558288326,10.0,1790.0033752024078,100000,1791.555167804464,0.0,100,0,0.0013103357883866,-0.086692160671522,4907.0,745,0,P05_UNCORRELATED,100,0.2
688f8834bd1fa0a44c55e03dc1e044b828d98f35c1916ef0cd603e23712e4b8c,1008.253974586664,10.0,2125.1220813942614,100000,2129.092024665243,0.0,100,0,0.0020316711011146,-0.1868101275563947,5985.0,1616,175,P05_UNCORRELATED,100,0.2
b3bb4f3ebe362af1b3f22ba6d45594bae3a6e79cb6971f0fa62a2489a01060eb,1276.6190229759368,10.0,2863.4118970756203,100000,2868.934216295399,0.0,100,0,0.0015838698659311,-0.1928580105928364,4568.0,763,0,P05_UNCORRELATED,100,0.2
16657bb70f8c72c66d1400da54e4e64300e28790ad1c3b0725161c47db388b25,1849.9340389557417,10.0,3062.6042379550418,100000,3070.1941873767214,0.0,100,0,0.002073871134498,-0.2478266479101981,3320.0,571,0,P05_UNCORRELATED,100,0.2
ff84869bfaf1d1457190039f3a7c32e8eefcae4a1ae27fddd8b1e9fa14a93c44,2363.862328567923,10.0,3695.0828636787846,100000,3702.924664521608,0.0,100,0,0.0020695605604797,-0.2122225977637811,4911.0,1418,27,P05_UNCORRELATED,100,0.2
c64bbe2ec9d07b95890e162e51137461ebb48680f9de52a6c5961f13f9b6db80,2676.3251024853316,10.0,4335.185085827723,100000,4349.604489278818,0.0,100,0,0.0018938088050834,-0.3326133294339283,5600.0,1378,140,P05_UNCORRELATED,100,0.2
49354466fae081cfe6bae9afdd6d6177b12cc49e23796595c7d316a1492e0a19,3437.617036735994,10.0,4505.861491510284,100000,4515.403873047519,0.0,100,0,0.0021851438479917,-0.211777072047453,4411.0,909,0,P05_UNCORRELATED,100,0.2
03fdaf45963920ced40545188e23e67c995188ddf4e8bcdbcff5f77130ad1946,4006.977012186977,10.0,4442.173530885971,100000,4453.19463692881,0.0,100,0,0.0024781333018569,-0.24810165488157,5050.0,1145,44,P05_UNCORRELATED,100,0.2
