instanceID, capacity, shortageCost, solutionValue, solutionTimeMs, statesExplored,instance,n_items,coeff_of_var
982365cb27142b860e400fe8b8028bedda8a385b00d728b1296909f7327cf5ef,1105.9222745163063,10.0,2330.421566078018,20722,45723,P05_WEAKLY_CORRELATED,25,0.2
013cd3c72dc0b53878445e4cd77fadf0a3dc310c76ab9461dbbe6db384d75cc0,112.63131849856067,10.0,163.29615100917425,3175,22464,P05_STRONGLY_CORRELATED,25,0.1
7de553dec6293821aa6541e5493d6b0e756f4c96c16afe49823fa6450ba19e7f,232.2169282654879,10.0,312.25369354161813,3441,23403,P05_STRONGLY_CORRELATED,25,0.1
f775b65ab85a72a1a52d504fd283700b050607c0d267ad48fbc19a6718dfb142,300.9566867083967,10.0,433.2153061300428,2614,16582,P05_STRONGLY_CORRELATED,25,0.1
7f360997aa3f996e4a5656e72a0674c0ec7c401c4a603bf32e066b893d9dafbf,520.5735598916084,10.0,645.3859212608115,4476,26065,P05_STRONGLY_CORRELATED,25,0.1
111833f9e3b4cba398f234175f921903313ebcdd1b0747ed5744b718da70f9be,464.7722271921675,10.0,627.599461584206,2567,15305,P05_STRONGLY_CORRELATED,25,0.1
78c129f6bb638c217c7e08addc645f3419f1bd36d0e4c3d833ef5f70814507cc,661.4370441737321,10.0,822.9960387199098,3734,20124,P05_STRONGLY_CORRELATED,25,0.1
22f91eabca78db910908c6adbf0fdb1a2f465d8c3bc1e5cb80db0782dce2481f,822.4512923072126,10.0,993.5692094455084,4308,23496,P05_STRONGLY_CORRELATED,25,0.1
5a5ea11dd3df66a420c412a571dae2ee1b29a3869ed980d3799a1f881f1218f7,1016.0004901594976,10.0,1197.9286322216697,5155,28439,P05_STRONGLY_CORRELATED,25,0.1
0c45e7378a69048c8b8357b55e6594cc782b95a1181a2ad4f216c35d65593a66,928.6541312738166,10.0,1123.9827997333089,3706,18839,P05_STRONGLY_CORRELATED,25,0.1
6ebbabe1095f759d919758b62721efc556ce42a279513f45d1f0b18cae1c5616,1015.8717017981576,10.0,1216.180592920842,3758,19301,P05_STRONGLY_CORRELATED,25,0.1
61f26139028e8520d0e750d97d8618299c9f984536b009d493a195c3d72dad0b,112.63131849856067,10.0,154.84352302773752,17407,48494,P05_STRONGLY_CORRELATED,25,0.2
