instanceID, capacity, shortageCost, simulatedSolutionMean, simulatedSolutionStd, simulationRuns, piecewisePartitions, piecewiseSamples, evp, evwpi,evwpi_obj_2_n,instance,n_items,corr_coeff,coeff_of_var
00389ccbbefc2c52ef8592e301ed6c52c1d681cdad8fa55f5eb2eafe71c47084,36.26366729715312,10.0,55.7577660833655,5.398952292196686,100,10,100000,60.489834011040045,60.82339692950914,60.54550118637778,P05_UNCORRELATED,25,0.75,0.2
3ab02a90098652b9c95edd976c88c04620590cab26820c0caf4b38d7b72c6077,54.44630327171269,10.0,80.48076980106524,5.277246720578919,100,10,100000,84.69672292206577,85.62137980173844,85.56880668198106,P05_UNCORRELATED,25,0.75,0.2
194d171ba6fd8f0ba3ae0b7dda5ed07e67e603a2799615d044ead466779ec387,56.50656495776749,10.0,92.398687375396,4.2362756670655095,100,10,100000,94.80764217558075,95.16030140625446,95.16030140625446,P05_UNCORRELATED,25,0.75,0.2
496c7e950ac82e870a5cd6be4d511a2bd317fb34d97b134b15e922418b045199,73.96608160813751,10.0,103.14824960963236,5.1193146624967785,100,10,100000,108.2077353764812,107.8125770508061,107.5149615514843,P05_UNCORRELATED,25,0.75,0.2
87a8569c1d246f842c4dff52b4202553853e9efd5a86369391f54e377461b965,92.55281938618496,10.0,119.9183694554378,8.522901968740912,100,10,100000,125.8257526137132,126.12409373609698,126.12409373609698,P05_UNCORRELATED,25,0.75,0.2
25a829e9ede163da4d0afeb194c12cfa4260d65c054da7ceae459b7dd0f833b5,107.25274208920996,10.0,134.49594820764943,4.862770801509364,100,10,100000,139.11810676370894,138.66031112906867,138.6312215187969,P05_UNCORRELATED,25,0.75,0.2
0e791a767b176f7aa1a9e4a4cf815a94876821e27f6b8a8ba0ad111ca0cd05e5,115.38170983579587,10.0,131.29510807683465,5.309907396145296,100,10,100000,134.83099584790114,133.90609779992843,133.89161264707505,P05_UNCORRELATED,25,0.75,0.2
1275a1f2fd029b9fc75e3dd322becd9e10db4686b109020b3d1049893b35cad7,123.69269143427805,10.0,127.77616701078485,3.9792987105394975,100,10,100000,130.42089035281566,129.57671510783695,129.5643219154751,P05_UNCORRELATED,25,0.75,0.2
4dca5ec87f6c09c37e6a8689945757d8d534b9425e3eadfd082a1237675775e1,12.621430623637876,10.0,32.62438893618546,3.643420368316923,100,10,100000,33.73924692016173,34.38086531797382,34.380865317973814,P05_UNCORRELATED,25,0.95,0.2
4c01917bdbd94608665f96460dcb9806b78ac9eabb880968ef1a33b2614414d3,27.794665945486333,10.0,48.57566709379068,4.219985975055771,100,10,100000,51.378196402607685,51.19450920808353,51.19450920808353,P05_UNCORRELATED,25,0.95,0.2
28f96a869feb7a4ee0e292110023f4dfa5c10f578fb791b1168996beaf39a571,36.26366729715312,10.0,55.87657304153954,6.959384230976349,100,10,100000,60.489834011040045,60.28107186606791,60.03679920134372,P05_UNCORRELATED,25,0.95,0.2
f605207ac2288dcbc7c3b6db34152d6f0fc574fa09c2bd5868aa4a8e04b92eee,54.44630327171269,10.0,78.88141653261825,8.867141415164149,100,10,100000,84.69672292206577,84.26877221433043,84.25780716032446,P05_UNCORRELATED,25,0.95,0.2
e0ef08c1d174fe42c808fb2dc1674ccaf0b268a2777160f9ef96ba5601cb7eee,56.50656495776749,10.0,91.31845695417756,6.8521130887861466,100,10,100000,94.80764217558075,94.66453024845536,94.66453024845536,P05_UNCORRELATED,25,0.95,0.2
07bc0a6ac58b0c7d674d5dc829ba0d57b10764a72dd576c851e453f0025bd566,73.96608160813751,10.0,102.23877623274107,7.108241461444634,100,10,100000,108.2077353764812,107.39638366688273,107.09961582442048,P05_UNCORRELATED,25,0.95,0.2
91edb16ae01724c0b999346f06d649a9ff21fb9921e31ca295a4cfed41c9dbeb,92.55281938618496,10.0,119.41082234922618,10.71042433956087,100,10,100000,125.8257526137132,125.32553586576684,125.32553586588423,P05_UNCORRELATED,25,0.95,0.2
c83afd35eee41dade86209803727ab642ceaa1dc3c02e3029996936496627a74,107.25274208920996,10.0,134.09685664062636,6.804886764738515,100,10,100000,139.11810676370894,138.00370987080387,137.90437020101643,P05_UNCORRELATED,25,0.95,0.2
7602525919ad5334045ea5e769092cf93b1e83eca928b8679cc8b2d7745cae51,115.38170983579587,10.0,129.43085975086186,9.452542056855693,100,10,100000,134.83099584790114,132.74047150114623,132.74047150114626,P05_UNCORRELATED,25,0.95,0.2
