instanceID, capacity, shortageCost, simulatedSolutionValue, simulationRuns, milpSolutionValue, milpOptimalityGap, piecewisePartitions, piecewiseSamples, milpMaxLinearizationError, simulatedLinearizationError,cplexSolutionTimeMs, simplexIterations, exploredNodes,instance,n_items,corr_coeff,coeff_of_var
b3d3bcba4da9b0a2bcdd83f952f137f19cf8fc7a3bd37ab15d664316d756f4bd,459.20206817367233,10.0,714.4552900246756,100000,724.0944268408509,0.00019522306671135867,50,0,0.0033801337258529,-1.349158855810615,12117.0,4898,1957,P05_ALMOST_STRONGLY_CORRELATED,100,0.75,0.1
a5b860389228d4d10b499cf53ecdf1e335d57d26f47b358d8bf49f1a3985d1cc,858.3955171856044,10.0,1208.041899987364,100000,1232.8544727136032,0.0,50,0,0.0033157623408437,-2.053949678939001,37716.0,52983,28096,P05_ALMOST_STRONGLY_CORRELATED,100,0.75,0.1
a3094af3575d56f55f3e1b4bf7eb9c3edca99b29842198bd4ce1d9806d04c4f4,1386.0180019648064,10.0,1792.62870439408,100000,1836.9431989495608,0.0,50,0,0.0031270060586094,-2.472039773035961,287859.0,575659,247131,P05_ALMOST_STRONGLY_CORRELATED,100,0.75,0.1
eac125fb48b98ce1ccd0a60ae9c99bcf624ad8898f0921d089f006d06e2affd4,1705.4035930376886,10.0,2223.9707617415197,100000,2281.143548654117,8.547961689871375e-05,50,0,0.0029286186305164,-2.570752632909069,5656.0,910,331,P05_ALMOST_STRONGLY_CORRELATED,100,0.75,0.1
75e63f8a7e7bbac08c40e2db68523a0e6cf5eed98f1a11172bd51351e046a1b6,2189.061141156589,10.0,2724.131613643407,100000,2797.665158251953,0.0,50,0,0.002861247234939,-2.6993389100682283,31379.0,22623,20217,P05_ALMOST_STRONGLY_CORRELATED,100,0.75,0.1
b76f304a27a612a01b0fe935a90ef1bbe732473484b9c086812a9d9cb7912596,2886.177375009661,10.0,3426.293144559455,100000,3528.754326407999,0.0,50,0,0.0029369943054072,-2.990438282002819,821505.0,2106336,1051539,P05_ALMOST_STRONGLY_CORRELATED,100,0.75,0.1
045a6a3cf8a125cef9c13ceeebb84c2ce4fa2d6b88ba22175326687369de1ffb,3216.8335332140696,10.0,3779.808098065791,100000,3930.432390977298,0.0,50,0,0.0028387298320661,-3.984971961634377,19534.0,15782,11200,P05_ALMOST_STRONGLY_CORRELATED,100,0.75,0.1
08a6b0b0a0d3588688413d7d1ed763eda38cea473b801e177dc5575abea5fc32,3490.5161734854346,10.0,4093.0775378471135,100000,4260.294426113198,0.0,50,0,0.0027141869148536,-4.0853584306647805,239717.0,789454,201405,P05_ALMOST_STRONGLY_CORRELATED,100,0.75,0.1
690a474ef991a8079e6300ac8386d82fa7ba534cce30a7e05e4c9d8cc44948b9,3592.479997210422,10.0,4246.653631400777,100000,4416.276780050988,0.0,50,0,0.0027537814714282,-3.994277927353829,811360.0,2788479,1085741,P05_ALMOST_STRONGLY_CORRELATED,100,0.75,0.1
e441ad567e535189ec126b12a3a3bbc96e26f15e9949d1cc7172383876e43472,4798.834635110607,10.0,5443.248422256426,100000,5640.513137849646,0.0,50,0,0.0026396769421509,-3.6240255871225977,82542.0,123327,46543,P05_ALMOST_STRONGLY_CORRELATED,100,0.75,0.1
