instanceID,capacity,shortageCost,B&BoptimalKnapsack,B&BsolutionValue,B&BsolutionTimeMs,B&BexploredNodes,HEURoptimalKnapsack,HEURsolutionValue,HEURsolutionTimeMs,HEURoptGap,instance,n_items,coeff_of_var
c7dd2fd37e034caccf0bb5d042c56bb885f63a99471c503435726c3612e305a1,907.9861870330462,10.0,[0.	1.	1.	0.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	1.	1.	0.	1.],1866.46172287586,16372.225830078123,23,[0.	1.	1.	0.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	1.	1.	0.	1.],1866.46172287586,1929.72216796875,0.0,P05_WEAKLY_CORRELATED,25,0.1
dd7e8dfa440d858290f5097d0506f8015d9c89931a83c05944f7c56faa0bcf35,1015.652441537617,10.0,[1.	0.	1.	1.	1.	1.	1.	1.	0.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.],2009.263876672096,232020.8447265625,781,[1.	0.	1.	1.	1.	1.	1.	1.	0.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.],2009.263876672096,1678.399169921875,0.0,P05_WEAKLY_CORRELATED,25,0.1
11b63efb78b026d9e7f96d2231c921a557937ee8d9a1bab9032d95b5d6815f9b,1078.0584145275466,10.0,[1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	1.	1.	1.	1.],2177.4214494216417,5922.060302734375,7,[1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	1.	1.	1.	1.],2177.4214494216417,2023.87158203125,0.0,P05_WEAKLY_CORRELATED,25,0.1
fe121844db3bb5e963e7b72ae4990f2689b8810f8c0aa0e581dd5c45ed7397e0,1105.9222745163063,10.0,[1.	1.	1.	0.	1.	0.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.],2302.7868458818366,23028.931884765625,57,[1.	1.	1.	0.	1.	0.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.],2302.7868458818366,1898.7275390625,0.0,P05_WEAKLY_CORRELATED,25,0.1
1774666aaaf07de0d4b5afdb689de921638248c12311f53de3aa2f61770c2a0e,112.63131849856067,10.0,[0.	0.	0.	1.	0.	0.	0.	0.	1.	0.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	0.	0.	1.	1.	0.],546.1842794771593,54284.784912109375,141,[0.	0.	0.	1.	0.	0.	0.	0.	1.	0.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	0.	0.	1.	1.	0.],546.1842794771593,2306.22998046875,0.0,P05_WEAKLY_CORRELATED,25,0.2
f688c7bbd100a3e1e10de0d70075f5b7ab7a81445aef8dedb699515066081856,200.6377911389312,10.0,[0.	0.	1.	1.	1.	1.	1.	1.	0.	0.	0.	1.	0.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	1.	1.],1200.600576737953,5341.26318359375,9,[0.	0.	1.	1.	1.	1.	1.	1.	0.	0.	0.	1.	0.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	1.	1.],1200.600576737953,1615.7978515625,0.0,P05_WEAKLY_CORRELATED,25,0.2
2d4c8f74c56086ff6a26a52eb401ff382b51e927eb38f8100ad3f6f80630189d,278.8633363153005,10.0,[0.	0.	1.	1.	1.	1.	1.	0.	0.	0.	1.	0.	0.	1.	1.	1.	0.	1.	0.	0.	1.	1.	0.	1.	1.],1314.150320729308,15572.651123046877,39,[0.	0.	1.	1.	1.	1.	1.	0.	0.	0.	1.	0.	0.	1.	1.	1.	0.	1.	0.	0.	1.	1.	0.	1.	1.],1314.150320729308,1411.676513671875,0.0,P05_WEAKLY_CORRELATED,25,0.2
a39cc7058175b6c6e6bd5af23a9c83a125e8201283ee14abfa53a131ba57a8c8,469.97216703269294,10.0,[1.	1.	0.	1.	1.	0.	1.	1.	1.	0.	1.	0.	1.	1.	1.	0.	0.	0.	1.	1.	1.	0.	0.	0.	0.],1344.630050665956,79939.37158203125,219,[1.	1.	0.	1.	1.	0.	1.	1.	1.	0.	1.	0.	1.	1.	1.	0.	0.	0.	1.	1.	1.	0.	0.	0.	0.],1344.630050665956,2149.099609375,0.0,P05_WEAKLY_CORRELATED,25,0.2
954c360b4972ec3400b057f7ca11f7eaa6e48046933bdef8d8296d9e86e7a972,515.9189618187869,10.0,[1.	1.	1.	1.	1.	0.	0.	1.	1.	1.	0.	1.	0.	0.	0.	1.	0.	1.	1.	1.	1.	1.	1.	0.	1.],1555.1765091603072,57099.43041992188,163,[1.	1.	1.	1.	1.	0.	0.	1.	1.	1.	0.	1.	0.	0.	0.	1.	0.	1.	1.	1.	1.	1.	1.	0.	1.],1555.1765091603072,1506.404052734375,0.0,P05_WEAKLY_CORRELATED,25,0.2
d2f1dc916fc762ef87b844652b0fe986561e50ed64e618e30d1ba52cfefefea4,669.2975149694981,10.0,[1.	1.	1.	0.	1.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	0.	0.	0.	1.	0.],1781.8680199101914,1151.516845703125,1,[1.	1.	1.	0.	1.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	0.	0.	0.	1.	0.],1781.8680199101914,1867.323486328125,0.0,P05_WEAKLY_CORRELATED,25,0.2
